Date,Meeting No.,Category,Focus_Area,Type,Level,Joint,Formal,Chair,Status,Meeting_Type,City/Country,Agenda,Topicl Area,Focus,Country,Regional,PSOs,Thematic,Others,Plan,Recorded,Session,Outcome,Outcome_stat,Ref,Link,Meeting Chair,Title,CPAPS,,
"Monday, January 18, 2021",973,Consideration,Peace Suppot,Meeting,PR,,Formal,Senegal,Held,,HQ,Consideration of the Report of the Chairperson of the Commission on the Multinational Joint Task Force (MNJTF) against the Boko Haram,MNJTF,PSOs,,,MNJTF,,,Planned,Regular,Clossed,Communiqué,Released,PSC/PR/COMM.(CMLXXIII),https://papsrepository.africa-union.org/handle/123456789/172,Amb. Baye Moctar Diop,Permanent Representative of the Republic of Senegal to the AU,,,
"Friday, January 22, 2021",974,,Situation,Meeting,PR,,Formal,Senegal,Held,,HQ,Situation in the Great Lakes Region,Great Lakes Region,Regional,,Great Lakes,,,,Planned,Regular,Clossed,Communiqué,Released,PSC/PR/COMM.(CMLXXIV),https://papsrepository.africa-union.org/handle/123456789/171,Amb. Baye Moctar Diop,Permanent Representative of the Republic of Senegal to the AU,,,
"Wednesday, January 27, 2021",975,,Thematic,Meeting,PR,,Formal,Senegal,Held,,HQ,"Peace, Security and Development: taking security challenges into account in financing development","Peace, Security and Development Nexus",Thematic,,,,"Peace, Security and Development Nexus",,Planned,Regular,Clossed,Communiqué,Released,PSC/PR/COMM.(CMLXXV),https://papsrepository.africa-union.org/handle/123456789/170,Amb. Baye Moctar Diop,Permanent Representative of the Republic of Senegal to the AU,,,
"Friday, January 29, 2021",976,,Thematic,Meeting,PR,,Formal,Senegal,Held,,HQ,AU Guidelines on Elections in Africa in the Context of the Novel Coronavirus (COVID-19) Pandemic and Other Public Health Emergencies,Elections in Africa,Thematic,,,,Elections in Africa,Public Health,Planned,Regular,Clossed,Communiqué,Released,PSC/PR/COMM.(CMLXXVI),https://papsrepository.africa-union.org/handle/123456789/649,Amb. Baye Moctar Diop,Permanent Representative of the Republic of Senegal to the AU,,,
"Monday, February 1, 2021",977,Consideration,Country Situation,Meeting,PR,,Formal,Ghana,Held,,HQ,Situation in the Central African Republic (CAR),Central African Republic,Country,Central African Republic,,,,,Planned,Regular,Clossed,,Pending,,,,,,,
"Tuesday, February 9, 2021",978,Consideration,Situation,Meeting,PR,,Formal,Ghana,Held,,HQ,Consideration of the Report of the Chairperson of the Commission on the Situation in Somalia and the implementation of the African Union Mission in Somalia (AMISOM) Mandate,somalia,Country,Somalia,,AMISOM,,,Planned,Regular,Clossed,Communiqué,Released,PSC/PR/COMM.(CMLXXVIII),https://papsrepository.africa-union.org/handle/123456789/169,Amb. Amma Adomaa Twum-Amoah,Permanent Representative of the Republic of Ghana to the AU,,,
"Tuesday, February 16, 2021",979,,Situation,Meeting,PR,,Formal,Ghana,Held,,HQ,Situation in the Central African Republic (CAR),Central African Republic,Country,Central African Republic,,,,,Planned,Regular,Clossed,Communiqué,Released,PSC/PR/COMM.(CMLXXIX),https://papsrepository.africa-union.org/handle/123456789/168,Amb. Amma Adomaa Twum-Amoah,Permanent Representative of the Republic of Ghana to the AU,,,
"Wednesday, February 17, 2021",980,Consideration,PPoW,Meeting,PR,,Formal,Ghana,Held,e-Mail,HQ,Consideration and adoption of the PSC Provisional Programme of Work for March 2021,PPoW,Other,,,,,PPoW,Planned,Regular,Clossed,PPoW,Released,PSC/PPoW/03 (2021),,Amb. Amma Adomaa Twum-Amoah,Permanent Representative of the Republic of Ghana to the AU,,,
"Tuesday, February 23, 2021",981,Consideration,Other Issues,Meeting,PR,,Formal,Ghana,Held,In-Person,HQ,Consideration of the Report of the Activities of the Peace and Security Council and the State of Peace and Security in Africa ,Report to the Assembly,Other,,,,,Assembly Report,Planned,Regular,Clossed,Report,Released,,,Amb. Amma Adomaa Twum-Amoah,Permanent Representative of the Republic of Ghana to the AU,Amb. Smail Chergui,CPS,
"Thursday, February 25, 2021",982,Consideration,Thematic,Meeting,PR,,Formal,Ghana,Held,,HQ,"Consideration of the Report of the Chairperson of the Commission on Elections in Africa held during the period from July to December 2020 and those held, as well as those to be held during the first quarter of 2021",Elections in Africa,Thematic,,,,Elections in Africa,,Planned,Regular,Clossed,Communiqué,Released,PSC/PR/COMM.(CMLXXXII),https://papsrepository.africa-union.org/handle/123456789/167,Amb. Amma Adomaa Twum-Amoah,Permanent Representative of the Republic of Ghana to the AU,,,
"Thursday, March 4, 2021",983,,Other Issues,Meeting,PR,,Formal,Kenya,Held,,HQ,Unified Role of the African Members in the United Nations (UN) Security Council (A3) in the UN Security Council,A3,Other,,,,,A3,Planned,Regular,Clossed,Communiqué,Released,PSC/PR/COMM.(CMLXXXIII),https://papsrepository.africa-union.org/handle/123456789/166,Amb. Jean Kamau,Permanent Representative of the Republic of Kenya to the AU,,,
"Tuesday, March 9, 2021",984,,Thematic,Meeting,HoSG,,Formal,Kenya,Held,,HQ,Sustainable Peace in Africa: Climate Change and its Effects on Peace and Security in the Continent,Climate Change,Thematic,,,,Climate Change,,Planned,Regular,Clossed,Communiqué,Released,PSC/AHG/COMM.1 (CMLXXXIV),https://papsrepository.africa-union.org/handle/123456789/164,H.E. President Uhuru Kenyatta,President of the Republic of Kenya,,,
"Tuesday, March 9, 2021",984,,Thematic,Meeting,HoSG,,Formal,Kenya,Held,,HQ,Follow up on the implementation of paragraph 15 of the decision on Silencing the Guns of the 14th Extraordinary Summit,Silencing the Guns,Thematic,,,,Silencing the Guns,,Planned,Regular,Clossed,Communiqué,Released,PSC/AHG/COMM.2 (CMLXXXIV),https://papsrepository.africa-union.org/handle/123456789/165,H.E. President Uhuru Kenyatta,President of the Republic of Kenya,,,
"Tuesday, March 16, 2021",985,Consideration,Country Situation,Meeting,PR,,Formal,Kenya,Held,,HQ,Update on the Situation in Sudan,Sudan,Country,Sudan,,,,,Planned,Regular,Clossed,Communiqué,Pending,PSC/PR/COMM. (CMLXXXV),,Amb. Jean Kamau,Permanent Representative of the Republic of Kenya to the AU,Amb. Bankole Adeoye,"Commissioner, PAPS",
"Tuesday, March 16, 2021",985,Consideration,Field Mission,Meeting,PR,,Formal,Kenya,Held,,HQ,Preparation for the PSC Field Mission to South Sudan,Field Mission,Other,,,,,Field Mission,Planned,Regular,Clossed,,,PSC/PR/COMM. (CMLXXXV),,Amb. Jean Kamau,Permanent Representative of the Republic of Kenya to the AU,Amb. Bankole Adeoye,"Commissioner, PAPS",
"Thursday, March 18, 2021",986,Preparation,Peace Support Operations,Meeting,MIN,,Formal,Kenya,Held,,HQ,Peacekeeping Operations in Africa: Emerging Challenges and Critical Lessons for Sustainable Peacekeeping Operations,Peacekeeping,PSOs,,,Peacekeeping,,,Planned,Regular,Clossed,Communiqué,Released,PSC/MIN/COMM.(CMLXXXVI),https://papsrepository.africa-union.org/handle/123456789/163,H.E. Raychelle Omamo,"Cabinet Secretary, Ministry of Foreign Affairs of the Republic of Kenya",,,
"Monday, March 22, 2021",987,,Thematic,Meeting,MIN,,Formal,Kenya,Held,,HQ,"Women, Peace, Culture and Gender Inclusivity in Africa","Women, Peace and Security",Thematic,,,,"Women, Peace and Security",,Planned,Regular,Clossed,Communiqué,Released,PSC/MIN/COMM.(CMLXXXVII),https://papsrepository.africa-union.org/handle/123456789/162,H.E. Raychelle Omamo,"Cabinet Secretary, Ministry of Foreign Affairs of the Republic of Kenya",,,
