   Year,Activity,Activity Type,Mandate Authorising Activity (PSC/Assembly Decision),Main Objective,Target Beneficiary,Country,Region,Outcome, Activity Budget (USD) , Unit ,Directorate,Department,Link to Activity Report
2025,PSC Heads of State Meeting on Eastern DRC,Meeting,PSC Protocol,Endorse SADC-EAC Summit conclusions and harmonise Luanda & Nairobi processes,DRC & Great Lakes states,DRC,Central Africa,AU-EAC-SADC coordination mechanism requested,,Conflict Prevention & Mediation,CMD,PAPS,Para 43
2025,Appointment of AU Mediator for DRC–Rwanda crisis,Programmatic,AU Assembly/PSC Decisions,Strengthen AU mediation between DRC & Rwanda,DRC & Rwanda,DRC/Rwanda,Central Africa,AU mediation strengthened,,Mediation Support Unit,CMD,PAPS,Para 48
2025,Endorsement of ToR for AU Mediator & Facilitators,Meeting,PSC/Assembly Mandate,Consolidate African-led peace process,Great Lakes region,Multi-country,Central Africa,African-led mediation framework endorsed,,Mediation Support Unit,CMD,PAPS,Para 49
2025,AU support to AU/EAC/SADC Secretariat & EJVM+,Programmatic,PSC decisions,Provide technical support & deploy security expert,DRC,DRC,Central Africa,Support to ceasefire verification,,Peace Support Operations,CMD,PAPS,Para 55
2025,AU support to CAR DDR & elections,Programmatic,PSC Decisions,"Support reconciliation, DDR and elections",CAR,CAR,Central Africa,AU Election Observation Mission deployed,,Democracy & Elections Unit,GCPD,PAPS,Paras 57–58
2025,AU Election Observation Mission to Gabon,Mission,ACDEG / Lomé Declaration,Support return to constitutional order,Gabon,Gabon,Central Africa,Suspension lifted after elections,,Democracy & Elections Unit,GCPD,PAPS,Para 63
2025,AU Roadmap for Sudan conflict,Programmatic,PSC Mandate,Facilitate ceasefire & inclusive dialogue,Sudan,Sudan,Eastern Africa,AU roadmap adopted,,Mediation & Preventive Diplomacy,CMD,PAPS,Para 66
2025,Establishment of PSC Ad hoc Committee & High-Level Panel (Sudan),Programmatic,PSC Decisions,Facilitate dialogue & mediation,Sudan,Sudan,Eastern Africa,Engagement structures created,,Mediation Support Unit,CMD,PAPS,Para 66
2025,AU Genocide Prevention Fact-finding Mission to Sudan,Mission,PSC Mandate,Assess atrocities & report to PSC,Sudan,Sudan,Eastern Africa,Report delivered to PSC,,Human Rights & Protection Unit,GCPD,PAPS,Para 66
2025,AU protection of civilians planning for Sudan,Programmatic,PSC Decisions,Develop civilian protection plan,Sudan civilians,Sudan,Eastern Africa,Plan under development,,Peace Support Operations,CMD,PAPS,Para 66
2025,AUSSOM deployment & operations support,Programmatic,UNSCR 2767 / PSC,Stabilisation & counter-terrorism support,Somalia,Somalia,Eastern Africa,Mission operational,"196,000,000.00",Peace Support Operations,CMD,PAPS,Paras 75–78
2025,AUSSOM resource mobilisation,Programmatic,PSC Decisions,Mobilise funds for mission,Somalia,Somalia,Eastern Africa,USD 116M mobilised,"116,000,000.00",Resource Mobilisation,CMD,PAPS,Para 78
2025,PSC meetings on Somalia & AUSSOM,Meeting,PSC Mandate,Address funding & operations,Somalia,Somalia,Eastern Africa,Resource mobilisation & troop commitments,,Peace Support Operations,CMD,PAPS,Paras 81–85
2025,AU engagement in South Sudan peace process,Programmatic,PSC Mandate,Support R-ARCSS implementation,South Sudan,South Sudan,Eastern Africa,AU visits & mediation,,Mediation Support Unit,CMD,PAPS,Para 92
2025,AU High-Level Mission to Madagascar,Mission,PSC Decisions,Support return to constitutional order,Madagascar,Madagascar,Eastern Africa,Stakeholder consultations conducted,,Preventive Diplomacy,CMD,PAPS,Para 103
2025,AU High-Level Committee mediation in Libya,Programmatic,Assembly Mandate,National reconciliation & elections,Libya,Libya,North Africa,Charter for reconciliation signed,,Mediation Support Unit,CMD,PAPS,Para 107
2025,AU-EU-UN Tripartite Taskforce reactivation (Libya migrants),Programmatic,Assembly Decision,Protection of migrants & coordination,Migrants in Libya,Libya,North Africa,Taskforce reactivated,,Humanitarian Affairs,GCPD,PAPS,Para 109
2025,AU Technical Assessment Mission to Mozambique,Mission,PSC Decisions,Assess humanitarian & security situation,Mozambique,Mozambique,Southern Africa,Recommendations for stabilisation,,Post-Conflict Reconstruction,GCPD,PAPS,Para 115
2025,AU High-level delegation to Sahel transitions,Mission,Assembly Mandate,Support return to constitutional order,"Mali, Burkina Faso, Niger",Multi-country,West Africa,Dialogue & engagement strengthened,,Preventive Diplomacy,GCPD,PAPS,Para 126
2025,AU Dialogue Platform with Transition Countries,Meeting,PSC Mandate,Institutionalise AU engagement,Sahel states,Ghana,West Africa,Dialogue platform established,,Governance & Transitions,GCPD,PAPS,Para 127
2025,AU Peace Fund Stabilisation Projects in Sahel,Programmatic,AU Peace Fund,Community resilience & livelihoods,Sahel & Nigeria,Multi-country,West Africa,Livelihoods for 250 women supported,,Stabilisation & Reconstruction,GCPD,PAPS,Para 128
2025,AU Election Observation Mission Guinea-Bissau,Mission,ACDEG,Observe elections,Guinea-Bissau,Guinea-Bissau,West Africa,Elections assessed peaceful (initially),,Democracy & Elections Unit,GCPD,PAPS,Para 132
2025,Pre-election assessment missions in 9 Member States,Programmatic,ACDEG / Agenda 2063,Assess electoral preparedness & technical needs,EMBs & stakeholders,Multi-country,Continental,Strengthened electoral readiness,Not specified,Democracy & Elections Unit,GCPD,PAPS,Paras 139–140
2025,BRIDGE Electoral Training (Dakar),Programmatic,ACDEG,Strengthen capacity of electoral bodies,Electoral institutions & courts,Senegal,West Africa,30 participants trained,Not specified,DEU,GCPD,PAPS,Para 141
2025,Guinea–Senegal peer exchange visit,Programmatic,ACDEG,Share electoral best practices,Guinea EMB,Senegal,West Africa,Knowledge exchange completed,Not specified,DEU,GCPD,PAPS,Para 141
2025,Preventive diplomacy mission – Malawi elections,Programmatic,PSC Protocol,Prevent election conflict,Election stakeholders,Malawi,Southern Africa,180 stakeholders trained; dialogue platforms created,Not specified,DEU,GCPD,PAPS,Para 142
2025,Women Political Participation Academy – Malawi,Programmatic,Gender Strategy,Train women candidates,Women candidates,Malawi,Southern Africa,204 trained; 52% winners were alumni,Not specified,DEU,GCPD,PAPS,Para 143
2025,MEC electoral logistics & gender training,Programmatic,ACDEG,Improve election management,Electoral officials,Malawi,Southern Africa,No negative observer reviews,Not specified,DEU,GCPD,PAPS,Para 144
2025,Support to Civil Society Situation Room,Programmatic,ACDEG,Strengthen election monitoring,CSOs,Malawi,Southern Africa,Inclusion & media analysis strengthened,Not specified,DEU,GCPD,PAPS,Para 145
2025,Specialized training for election observers (4th Edition),Programmatic,Maputo Protocol,Strengthen observation capacity,Observers from 52 MS,Morocco,Continental,120 observers trained,Not specified,DEU,GCPD,PAPS,Para 146
2025,Disability inclusion in political participation initiative,Programmatic,ACDEG,Develop training curriculum,Persons with disabilities,Continental,Continental,Curriculum under development,Not specified,DEU,GCPD,PAPS,Para 147
2025,Training of AUEOM core experts (Algiers),Programmatic,AUEOM mandate,Strengthen observation methodology,AUEOM experts,Algeria,North Africa,37 experts trained,Not specified,DEU,GCPD,PAPS,Para 148
2025,Training for PAP election observers,Programmatic,AUEOM mandate,Harmonize methodology,PAP Members,Continental,Continental,60 PAP Members trained,Not specified,DEU,GCPD,PAPS,Para 149
2025,Training women & youth observers with think tanks,Programmatic,ACDEG,Expand observer pool,Women & youth,Continental,Continental,Observer database expanded,Not specified,DEU,GCPD,PAPS,Para 150
2025,"Participation in international electoral cooperation (NORCAP, Kigali, Geneva)",Meeting,ACDEG,Peer learning & partnerships,AU Commission,Multi-country,Global,Improved methodology & partnerships,Not specified,DEU,GCPD,PAPS,Para 151
2025,Sudan High-Level Panel (AGA-APSA),Meeting,,Align AU interventions,Sudan stakeholders,Sudan,East Africa,Expanded Mechanism launched,APSA/AGA,Governance Unit,GCPD,PAPS,156
2025,AGA-APSA Rules & Roadmap Development,Programmatic,,Strengthen coordination,AU Organs,Continental,Joint roadmap developed,APSA/AGA,Governance Unit,,GCPD,PAPS,157
2025,PRC HRDG Subcommittee Briefings,Meeting,,Policy guidance on governance,AU Organs,Continental,13 briefings delivered,APSA/AGA,Governance Unit,,GCPD,PAPS,158
